,modus,zoneamount,output,job_id,memory,cpu_time,status,seed
6,GUROBI_BEST_TIDAL,1,Submitted batch job 42467612,42467612_6,"['26.03', 'GB']",01:44:11,COMPLETED (exit code 0),6
6,GUROBI_BEST_TIDAL,1,Submitted batch job 42467612,42467612_7,"['27.76', 'GB']",01:41:25,COMPLETED (exit code 0),7
6,GUROBI_BEST_TIDAL,1,Submitted batch job 42467612,42467612_8,"['27.27', 'GB']",01:06:22,COMPLETED (exit code 0),8
6,GUROBI_BEST_TIDAL,1,Submitted batch job 42467612,42467612_9,"['26.59', 'GB']",06:04:50,COMPLETED (exit code 0),9
6,GUROBI_BEST_TIDAL,1,Submitted batch job 42467612,42467612_10,"['24.67', 'GB']",00:59:06,COMPLETED (exit code 0),10
7,GUROBI_BEST_TIDAL,2,Submitted batch job 42467613,42467613_6,"['52.30', 'GB']",06:10:52,COMPLETED (exit code 0),6
7,GUROBI_BEST_TIDAL,2,Submitted batch job 42467613,42467613_7,"['52.52', 'GB']",06:12:20,COMPLETED (exit code 0),7
7,GUROBI_BEST_TIDAL,2,Submitted batch job 42467613,42467613_8,"['52.04', 'GB']",06:21:14,COMPLETED (exit code 0),8
7,GUROBI_BEST_TIDAL,2,Submitted batch job 42467613,42467613_9,"['50.46', 'GB']",06:09:49,COMPLETED (exit code 0),9
7,GUROBI_BEST_TIDAL,2,Submitted batch job 42467613,42467613_10,"['51.63', 'GB']",06:14:50,COMPLETED (exit code 0),10
8,GUROBI_BEST_TIDAL,5,Submitted batch job 42467614,42467614_6,"['57.99', 'GB']",00:25:15,OUT_OF_MEMORY (exit code 0),6
8,GUROBI_BEST_TIDAL,5,Submitted batch job 42467614,42467614_7,"['58.03', 'GB']",00:24:53,OUT_OF_MEMORY (exit code 0),7
8,GUROBI_BEST_TIDAL,5,Submitted batch job 42467614,42467614_8,"['62.30', 'GB']",00:24:12,OUT_OF_MEMORY (exit code 0),8
8,GUROBI_BEST_TIDAL,5,Submitted batch job 42467614,42467614_9,"['54.57', 'GB']",00:24:07,OUT_OF_MEMORY (exit code 0),9
8,GUROBI_BEST_TIDAL,5,Submitted batch job 42467614,42467614_10,"['58.98', 'GB']",00:24:21,OUT_OF_MEMORY (exit code 0),10
3,GUROBI_BETTER_TIDAL,10,Submitted batch job 42467609,42467609_6,"['9.43', 'GB']",06:00:18,COMPLETED (exit code 0),6
3,GUROBI_BETTER_TIDAL,10,Submitted batch job 42467609,42467609_7,"['10.05', 'GB']",06:00:24,COMPLETED (exit code 0),7
3,GUROBI_BETTER_TIDAL,10,Submitted batch job 42467609,42467609_8,"['5.68', 'GB']",06:00:26,COMPLETED (exit code 0),8
3,GUROBI_BETTER_TIDAL,10,Submitted batch job 42467609,42467609_9,"['5.84', 'GB']",06:00:16,COMPLETED (exit code 0),9
3,GUROBI_BETTER_TIDAL,10,Submitted batch job 42467609,42467609_10,"['6.17', 'GB']",06:00:23,COMPLETED (exit code 0),10
4,GUROBI_BETTER_TIDAL,20,Submitted batch job 42467610,42467610_6,"['10.33', 'GB']",06:01:20,COMPLETED (exit code 0),6
4,GUROBI_BETTER_TIDAL,20,Submitted batch job 42467610,42467610_7,"['10.52', 'GB']",06:01:24,COMPLETED (exit code 0),7
4,GUROBI_BETTER_TIDAL,20,Submitted batch job 42467610,42467610_8,"['9.88', 'GB']",06:01:12,COMPLETED (exit code 0),8
4,GUROBI_BETTER_TIDAL,20,Submitted batch job 42467610,42467610_9,"['10.34', 'GB']",06:01:22,COMPLETED (exit code 0),9
4,GUROBI_BETTER_TIDAL,20,Submitted batch job 42467610,42467610_10,"['10.56', 'GB']",06:00:37,COMPLETED (exit code 0),10
5,GUROBI_BETTER_TIDAL,30,Submitted batch job 42467611,42467611_6,"['13.46', 'GB']",06:02:07,COMPLETED (exit code 0),6
5,GUROBI_BETTER_TIDAL,30,Submitted batch job 42467611,42467611_7,"['14.86', 'GB']",06:02:14,COMPLETED (exit code 0),7
5,GUROBI_BETTER_TIDAL,30,Submitted batch job 42467611,42467611_8,"['12.93', 'GB']",06:02:04,COMPLETED (exit code 0),8
5,GUROBI_BETTER_TIDAL,30,Submitted batch job 42467611,42467611_9,"['14.56', 'GB']",06:01:57,COMPLETED (exit code 0),9
5,GUROBI_BETTER_TIDAL,30,Submitted batch job 42467611,42467611_10,"['15.07', 'GB']",06:01:47,COMPLETED (exit code 0),10
0,GUROBI_MANY_ZONES,10,Submitted batch job 42467606,42467606_6,"['2.81', 'GB']",01:29:30,COMPLETED (exit code 0),6
0,GUROBI_MANY_ZONES,10,Submitted batch job 42467606,42467606_7,"['2.64', 'GB']",00:39:07,COMPLETED (exit code 0),7
0,GUROBI_MANY_ZONES,10,Submitted batch job 42467606,42467606_8,"['2.62', 'GB']",01:19:24,COMPLETED (exit code 0),8
