,modus,zoneamount,output,job_id,memory,cpu_time,status,seed
0,GUROBI_MANY_ZONES,10,Submitted batch job 42467606,42467606_9,"['2.55', 'GB']",01:19:27,COMPLETED (exit code 0),9
0,GUROBI_MANY_ZONES,10,Submitted batch job 42467606,42467606_10,"['2.56', 'GB']",01:08:31,COMPLETED (exit code 0),10
1,GUROBI_MANY_ZONES,50,Submitted batch job 42467607,42467607_6,"['5.62', 'GB']",06:00:33,COMPLETED (exit code 0),6
1,GUROBI_MANY_ZONES,50,Submitted batch job 42467607,42467607_7,"['5.57', 'GB']",06:00:34,COMPLETED (exit code 0),7
1,GUROBI_MANY_ZONES,50,Submitted batch job 42467607,42467607_8,"['10.26', 'GB']",06:00:38,COMPLETED (exit code 0),8
1,GUROBI_MANY_ZONES,50,Submitted batch job 42467607,42467607_9,"['5.50', 'GB']",05:59:38,COMPLETED (exit code 0),9
1,GUROBI_MANY_ZONES,50,Submitted batch job 42467607,42467607_10,"['5.62', 'GB']",06:00:30,COMPLETED (exit code 0),10
2,GUROBI_MANY_ZONES,100,Submitted batch job 42467608,42467608_6,"['9.89', 'GB']",06:01:21,COMPLETED (exit code 0),6
2,GUROBI_MANY_ZONES,100,Submitted batch job 42467608,42467608_7,"['10.00', 'GB']",06:01:26,COMPLETED (exit code 0),7
2,GUROBI_MANY_ZONES,100,Submitted batch job 42467608,42467608_8,"['9.73', 'GB']",06:01:15,COMPLETED (exit code 0),8
2,GUROBI_MANY_ZONES,100,Submitted batch job 42467608,42467608_9,"['9.54', 'GB']",06:00:37,COMPLETED (exit code 0),9
2,GUROBI_MANY_ZONES,100,Submitted batch job 42467608,42467608_10,"['9.58', 'GB']",06:01:15,COMPLETED (exit code 0),10
